date,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),OT
1/1/2019 0:00,0,0,0,0
1/1/2019 0:30,0,0,0,0
1/1/2019 1:00,0,0,0,0
1/1/2019 1:30,0,0,0,0
1/1/2019 2:00,0,0,0,0
1/1/2019 2:30,0,0,0,0
1/1/2019 3:00,0,0,0,0
1/1/2019 3:30,0,0,0,0
1/1/2019 4:00,0,0,0,0
1/1/2019 4:30,0,0,0,0
1/1/2019 5:00,0,0,0,0
1/1/2019 5:30,0,0,0,0
1/1/2019 6:00,0,0,0,0
1/1/2019 6:30,0,0,0,0
1/1/2019 7:00,0,0,0,0
1/1/2019 7:30,0,0,0,0
1/1/2019 8:00,0,0,0,0
1/1/2019 8:30,50.266666,14.4,17.266666,0.7673333
1/1/2019 9:00,288.13333,7.6666665,100.6,4.7973332
1/1/2019 9:30,476.33334,239.73334,133.13333,9.607333
1/1/2019 10:00,598,423.2,143.46666,13.948667
1/1/2019 10:30,701.6,801.73334,64.86667,17.812
1/1/2019 11:00,821.26666,875.93335,82.13333,21.062666
1/1/2019 11:30,922.86664,902.2,94.26667,23.361334
1/1/2019 12:00,985.4,908.2,102.46667,25.204666
1/1/2019 12:30,1038.7333,910.4667,108.2,26.581333
1/1/2019 13:00,1063.0667,912.26666,111.46667,27.352
1/1/2019 13:30,1083.9333,1017.5333,124.933334,27.416
1/1/2019 14:00,1108,926,111.8,27.239334
1/1/2019 14:30,1066.1333,924.86664,107.2,26.228666
1/1/2019 15:00,994.4,931.8,101.333336,24.764668
1/1/2019 15:30,901.13336,920.5333,91.2,22.799334
1/1/2019 16:00,795.5333,876.26666,76.46667,20.086
1/1/2019 16:30,683.6,778.8,57.2,16.649334
1/1/2019 17:00,571.93335,17.133333,256,12.827333
1/1/2019 17:30,425,3.8666666,155.73334,8.464666
1/1/2019 18:00,124,1.6666666,42.866665,1.896
1/1/2019 18:30,19.6,0,3.4,0.25066668
1/1/2019 19:00,0,0,0,0
1/1/2019 19:30,0,0,0,0
1/1/2019 20:00,0,0,0,0
1/1/2019 20:30,0,0,0,0
1/1/2019 21:00,0,0,0,0
1/1/2019 21:30,0,0,0,0
1/1/2019 22:00,0,0,0,0
